Link,Gendre,Title,Artist
https://music.youtube.com/watch?v=pUre1I_VfDw&feature=share,Reggaeton,Yo no soy tu marido,Daddy Yankee
https://music.youtube.com/watch?v=t8LD10-ffiE&feature=share,Reggaeton,Good Looking,Don Omar
https://music.youtube.com/watch?v=FoB35qmo4YE&feature=share,Reggaeton,Permítame,Yandel
https://music.youtube.com/watch?v=tp1DmVJ63_Y&feature=share,Reggaeton,Sexy Movimiento,Wisin & Yandel
https://music.youtube.com/watch?v=igTlq-InJao&feature=share,Reggaeton,Hasta abajo,Don Omar
https://music.youtube.com/watch?v=72MVPbg1Un0&feature=share,Reggaeton,Pa que la pases bien,Arcangel
https://music.youtube.com/watch?v=ccvWeM4uyFE&feature=share,Reggaeton,Quizás,Tony Dize
https://music.youtube.com/watch?v=oKfihIsNg80&feature=share,Reggaeton,5 Letras,Alexis & Fido
https://music.youtube.com/watch?v=7uTMO_Z88gE&feature=share,Reggaeton,Como antes,Yandel
https://music.youtube.com/watch?v=r0jfqoF3Y6w&feature=share,Reggaeton,Pasarela,DJ Nelson
https://music.youtube.com/watch?v=UmhvtEoxJCw&feature=share,Reggaeton,Bien loco,Nova
https://music.youtube.com/watch?v=PttO7DljfEQ&feature=share,Reggaeton,Flow natural,Tito el Bambino
https://music.youtube.com/watch?v=nF9Ee9Pz9IU&feature=share,Reggaeton,No te veo,Casa de leones
https://music.youtube.com/watch?v=YDqzq54_hoQ&feature=share,Reggaeton,Noche de sexo,Romeo Santos
https://music.youtube.com/watch?v=NDWhkgA7tno&feature=share,Reggaeton,6 A M,J Balvin
https://music.youtube.com/watch?v=FNsoenLNcbE&feature=share,Reggaeton,Sensación del bloque,De la Ghetto
https://music.youtube.com/watch?v=WFoMObvIQXk&feature=share,Reggaeton,Classy 101,Feid
